base_estimator__max_depth,test,train
1,0.8503461809703836,0.8513925429739947
2,0.8577234575375344,0.8596916621331893
3,0.8663436047878352,0.8732852387529075
4,0.8673798226942362,0.8814082715532979
5,0.863193843782437,0.8913651963256569
6,0.858220574896604,0.9027623176501856
7,0.8531231769483185,0.9168325492124374
8,0.8463679540065542,0.9363007320594423
9,0.8384106241768292,0.9579656750814791
10,0.835468254453844,0.9768742885510792
11,0.8297905112756292,0.9798582881993079
12,0.8282153817419502,0.9799411747226442
13,0.8220819719818679,0.9799411747226442
14,0.8186421070597062,0.9799411747226442
15,0.8188081849613196,0.9799411747226442
16,0.8127572645664338,0.9799411747226442
17,0.8140002211223354,0.9799411747226442
18,0.8103948794078215,0.9799411747226442
19,0.8079903049663433,0.9799411747226442
20,0.8077422701105933,0.9799411747226442
21,0.8064573303664299,0.9799411747226442
22,0.8019403291717252,0.9799411747226442
23,0.8064161028583818,0.9799411747226442
24,0.806706138076944,0.9799411747226442
25,0.8064573818900808,0.9799411747226442
26,0.8059604362765146,0.9799411747226442
27,0.80086254026627,0.9799411747226442
28,0.8047172736260091,0.9799411747226442
29,0.8015263709853148,0.9799411747226442
