base_estimator__max_depth,train,validation
1,0.8513925429739947,0.8503461809703836
2,0.8596916621331893,0.8577234575375344
3,0.8732852387529075,0.8663436047878352
4,0.8814082715532979,0.8673798226942362
5,0.8913651963256569,0.863193843782437
6,0.9027623176501856,0.858220574896604
7,0.9168325492124374,0.8531231769483185
8,0.9363007320594423,0.8463679540065542
9,0.9579656750814791,0.8384106241768292
10,0.9768742885510792,0.835468254453844
11,0.9798582881993079,0.8297905112756292
12,0.9799411747226442,0.8282153817419502
13,0.9799411747226442,0.8220819719818679
14,0.9799411747226442,0.8186421070597062
15,0.9799411747226442,0.8188081849613196
16,0.9799411747226442,0.8127572645664338
17,0.9799411747226442,0.8140002211223354
18,0.9799411747226442,0.8103948794078215
19,0.9799411747226442,0.8079903049663433
20,0.9799411747226442,0.8077422701105933
21,0.9799411747226442,0.8064573303664299
22,0.9799411747226442,0.8019403291717252
23,0.9799411747226442,0.8064161028583818
24,0.9799411747226442,0.806706138076944
25,0.9799411747226442,0.8064573818900808
26,0.9799411747226442,0.8059604362765146
27,0.9799411747226442,0.80086254026627
28,0.9799411747226442,0.8047172736260091
29,0.9799411747226442,0.8015263709853148
