base_estimator__max_depth,train,validation
1,0.953600543478261,0.9366847826086957
2,0.9828804347826088,0.9432065217391304
3,0.9996603260869567,0.9364130434782609
4,0.9997961956521738,0.9440217391304347
5,0.9997961956521738,0.9445652173913043
6,0.9997961956521738,0.95
7,0.9997961956521738,0.948641304347826
8,0.9997961956521738,0.9524456521739129
9,0.9997961956521738,0.9475543478260869
10,0.9997961956521738,0.9470108695652174
11,0.9997961956521738,0.9527173913043478
12,0.9997961956521738,0.9540760869565219
13,0.9997961956521738,0.9521739130434783
14,0.9997961956521738,0.9538043478260869
15,0.9997961956521738,0.9456521739130436
16,0.9997961956521738,0.9532608695652174
17,0.9997961956521738,0.9519021739130433
18,0.9997961956521738,0.9508152173913043
19,0.9997961956521738,0.9510869565217392
20,0.9997961956521738,0.9532608695652176
21,0.9997961956521738,0.9529891304347826
22,0.9997961956521738,0.9589673913043478
23,0.9997961956521738,0.9538043478260869
24,0.9997961956521738,0.9516304347826088
25,0.9997961956521738,0.9546195652173912
26,0.9997961956521738,0.9532608695652174
27,0.9997961956521738,0.9532608695652174
28,0.9997961956521738,0.9538043478260869
29,0.9997961956521738,0.9508152173913045
