base_estimator__max_depth,train,validation
1,0.9519701086956521,0.9467391304347826
2,0.972554347826087,0.9478260869565218
3,0.9944293478260869,0.9459239130434781
4,0.9997961956521738,0.9464673913043479
5,0.9997961956521738,0.9472826086956522
6,0.9997961956521738,0.9567934782608696
7,0.9997961956521738,0.9475543478260869
8,0.9997961956521738,0.9478260869565217
9,0.9997961956521738,0.9464673913043479
10,0.9997961956521738,0.9448369565217393
11,0.9997961956521738,0.9402173913043479
12,0.9997961956521738,0.9421195652173914
13,0.9997961956521738,0.9456521739130436
14,0.9997961956521738,0.9383152173913043
15,0.9997961956521738,0.9421195652173914
16,0.9997961956521738,0.9399456521739131
17,0.9997961956521738,0.9407608695652175
18,0.9997961956521738,0.9426630434782609
19,0.9997961956521738,0.9364130434782609
20,0.9997961956521738,0.9410326086956523
21,0.9997961956521738,0.9361413043478262
22,0.9997961956521738,0.9345108695652173
23,0.9997961956521738,0.9404891304347827
24,0.9997961956521738,0.9353260869565219
25,0.9997961956521738,0.923913043478261
26,0.9997961956521738,0.9353260869565216
27,0.9997961956521738,0.91875
28,0.9997961956521738,0.9288043478260869
29,0.9997961956521738,0.9315217391304348
