base_estimator__max_depth,test,train
1,0.9415760869565217,0.9462635869565217
2,0.9489130434782609,0.9669157608695652
3,0.9429347826086957,0.9879076086956522
4,0.9459239130434783,0.9992527173913043
5,0.9470108695652174,0.9997961956521738
6,0.9529891304347826,0.9997961956521738
7,0.948641304347826,0.9997961956521738
8,0.9442934782608695,0.9997961956521738
9,0.9445652173913043,0.9997961956521738
10,0.9421195652173914,0.9997961956521738
11,0.9394021739130434,0.9997961956521738
12,0.9421195652173914,0.9997961956521738
13,0.9440217391304347,0.9997961956521738
14,0.9394021739130436,0.9997961956521738
15,0.9415760869565217,0.9997961956521738
16,0.9402173913043479,0.9997961956521738
17,0.9410326086956522,0.9997961956521738
18,0.9391304347826088,0.9997961956521738
19,0.9372282608695652,0.9997961956521738
20,0.9407608695652174,0.9997961956521738
21,0.9366847826086957,0.9997961956521738
22,0.9331521739130434,0.9997961956521738
23,0.9426630434782609,0.9997961956521738
24,0.9323369565217391,0.9997961956521738
25,0.9228260869565217,0.9997961956521738
26,0.9334239130434783,0.9997961956521738
27,0.9157608695652174,0.9997961956521738
28,0.9288043478260869,0.9997961956521738
29,0.9290760869565217,0.9997961956521738
